name,age,weight,height,rating,team,country,#teams
Aaron Appindangoye,24,187,182.88,63.6,,,0
Aaron Cresswell,27,146,170.18,66.9696969697,,,0
Aaron Doran,25,163,170.18,67.0,,,0
Aaron Galindo,34,198,182.88,69.0869565217,,,0
Aaron Hughes,37,154,182.88,73.24,,,0
Aaron Hunt,30,161,182.88,77.2592592593,,,0
Aaron Kuhl,21,146,172.72,60.5714285714,,,0
Aaron Lennon,29,139,165.1,79.7692307692,,,0
Aaron Lennox,23,181,190.5,48.0,Aberdeen,Scotland,1
Aaron Meijers,29,170,175.26,67.0526315789,,,0
Aaron Mokoena,36,181,182.88,71.625,,,0
Aaron Mooy,26,150,175.26,66.2857142857,,,0
Aaron Muirhead,26,168,187.96,62.25,,,0
Aaron Niguez,27,143,170.18,66.9259259259,,,0
Aaron Ramsey,26,154,177.8,78.5,,,0
Aaron Splaine,20,163,172.72,54.625,,,0
Aaron Taylor-Sinclair,25,176,182.88,62.6111111111,,,0
Aaron Wilbraham,37,159,190.5,61.7727272727,,,0
Aatif Chahechouhe,30,150,175.26,69.375,,,0
Abasse Ba,40,185,187.96,65.6,,,0
Abdelaziz Barrada,27,161,177.8,71.8571428571,,,0
Abdelfettah Boukhriss,30,161,185.42,64.0,,,0
Abdelhamid El Kaoutari,26,161,180.34,68.2857142857,,,0
Abdelkader Ghezzal,32,172,182.88,68.6923076923,,,0
Abdellah Zoubir,25,161,180.34,59.0,,,0
Abdelmajid Oulmers,38,143,172.72,68.8,,,0
Abdelmalek Cherrad,36,165,185.42,61.6,,,0
Abdelmalek El Hasnaoui,22,159,180.34,63.0,,,0
Abdelouahed Chakhsi,30,170,182.88,54.3333333333,,,0
Abderrazak Jadid,33,157,177.8,63.3076923077,,,0
